,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,161.0,39.0,"(17, 18, 19, 20, 21, 22, 23)",[1943 2257 2638 2891 2555 1722 1100],19.536971830985873,2.255518252537218,232.76948366184092,418.04051352186065,True
0,162.0,39.25,"(17, 18, 19, 20, 21, 22, 23)",[1946 2196 2605 2901 2582 1800 1121],19.582840236686337,2.301386658237682,237.50310313012878,418.04051352186065,True
0,163.0,39.5,"(17, 18, 19, 20, 21, 22, 23)",[1994 2345 2788 2952 2460 1629 1037],19.439662821650344,2.1582092432016893,222.72719389841433,418.04051352186065,True
0,164.0,39.75,"(17, 18, 19, 20, 21, 22, 23)",[1997 2335 2745 2975 2502 1588 1011],19.4411157844615,2.159662206012843,222.87713966052542,418.04051352186065,True
0,165.0,40.0,"(17, 18, 19, 20, 21, 22, 23)",[2012 2336 2757 2969 2601 1792 1145],19.5258939580764,2.2444403796277435,231.6262471775831,418.04051352186065,True
0,166.0,40.25,"(17, 18, 19, 20, 21, 22, 23)",[2158 2402 2705 2947 2559 1725 1110],19.38024911032023,2.0987955318715734,216.59569888914638,418.04051352186065,True
0,167.0,40.5,"(17, 18, 19, 20, 21, 22, 23)",[1940 2229 2644 2959 2672 1861 1142],19.623969613706112,2.342516035257457,241.7476548385696,418.04051352186065,True
0,168.0,40.75,"(17, 18, 19, 20, 21, 22, 23)",[1917 2192 2644 2927 2695 1948 1236],19.688963210702305,2.4075096322536496,248.45499404857662,418.04051352186065,True
0,169.0,41.0,"(17, 18, 19, 20, 21, 22, 23)",[1895 2172 2546 2922 2766 1972 1237],19.729939819458338,2.4484862410096824,252.68378007219923,418.04051352186065,True
0,170.0,41.25,"(17, 18, 19, 20, 21, 22, 23)",[1911 2220 2561 2869 2733 2006 1262],19.712477160010398,2.4310235815617425,250.88163361717181,418.04051352186065,True
0,171.0,41.5,"(17, 18, 19, 20, 21, 22, 23)",[1970 2191 2545 2827 2685 2029 1338],19.701663798049303,2.420210219600648,249.76569466278687,418.04051352186065,True
0,172.0,41.75,"(17, 18, 19, 20, 21, 22, 23)",[1865 2190 2552 2818 2733 2071 1256],19.754730081583016,2.473276503134361,255.24213512346606,418.04051352186065,True
0,173.0,42.0,"(17, 18, 19, 20, 21, 22, 23)",[1774 2064 2404 2706 2669 2071 1350],19.857094886309085,2.5756413078604297,265.80618297119634,418.04051352186065,True
0,174.0,42.25,"(17, 18, 19, 20, 21, 22, 23)",[1782 2028 2373 2745 2741 2112 1326],19.884251530328292,2.602797951879637,268.60874863397856,418.04051352186065,True
0,175.0,42.5,"(18, 19, 20, 21, 22, 23, 24)",[1959 2295 2656 2745 2206 1468 1050],20.311234673510118,3.0297810950614625,312.6734090103429,418.04051352186065,True
0,176.0,42.75,"(18, 19, 20, 21, 22, 23, 24)",[1962 2358 2761 2781 2190 1355  892],20.258520543264705,2.97706696481605,307.2333107690163,418.04051352186065,True
0,177.0,43.0,"(17, 18, 19, 20, 21, 22, 23)",[1706 2053 2462 2808 2733 2103 1386],19.922206568636053,2.640752990187398,272.5257085873394,418.04051352186065,True
0,178.0,43.25,"(17, 18, 19, 20, 21, 22, 23)",[1730 2098 2518 2852 2740 2027 1287],19.84512689096466,2.5636733125160056,264.5710858516518,418.04051352186065,True
0,179.0,43.5,"(17, 18, 19, 20, 21, 22, 23)",[1758 2035 2381 2745 2722 2072 1278],19.861598703753682,2.5801451253050267,266.2709769314788,418.04051352186065,True
0,180.0,43.75,"(17, 18, 19, 20, 21, 22, 23)",[1815 2089 2477 2857 2774 2115 1344],19.8598278587739,2.578374280325246,266.08822572956535,418.04051352186065,True
0,181.0,44.0,"(17, 18, 19, 20, 21, 22, 23)",[1784 2077 2461 2799 2766 2190 1438],19.929367511841704,2.647913933393049,273.26471792616263,418.04051352186065,True
0,182.0,44.25,"(17, 18, 19, 20, 21, 22, 23)",[1909 2189 2568 2909 2828 2158 1394],19.82133698823942,2.5398834097907645,262.1159678904069,418.04051352186065,True
